Ticker,Tanggal,Total_Berita,Avg_Prob_Positif,Avg_Prob_Netral,Avg_Prob_Negatif,Skor_Sentimen_Final
ANTM,2026-05-22,1,0.0016734776527372339,0.9974754853904922,0.0008510369567704932,0.003515886638488817
ANTM,2026-05-21,2,0.002048264985218606,0.9966119386271275,0.0013397963876538958,0.0030286624776498256
ANTM,2026-05-20,1,0.0016306486672025236,0.9975331110069815,0.0008362403258159801,0.0033960499361013643
ANTM,2026-05-19,5,0.0037334532837047176,0.9945970440282891,0.0016695026880062652,0.00882327000293609
ANTM,2026-05-18,2,0.0014150158567530042,0.7632486902329335,0.23533629391031347,-1.0
ANTM,2026-05-14,1,0.010017311636200472,0.9893344747290072,0.00064821363479239,0.04005235470397378
ANTM,2026-05-12,2,0.0025172088796894107,0.9968153433699047,0.000667447750405835,0.00790762236199838
ANTM,2026-05-11,1,0.0014783918504157995,0.9979132050743323,0.0006084030752518233,0.0037191519403582288
ANTM,2026-05-09,1,0.0017720500958754912,0.9977417265726459,0.00048622333147861,0.005496835410169348
ANTM,2026-05-08,2,0.002801026960645518,0.9965611738453457,0.0006377991940087264,0.009247674194655699
ANTM,2026-05-07,2,0.0023095468528354455,0.9971300864125602,0.0005603667346043506,0.0074776443288352284
ANTM,2026-05-06,2,0.0024210142347319825,0.9963740488297246,0.0012049369355434394,0.005198660460935496
ANTM,2026-05-05,2,0.0019537039155809286,0.9972317724809143,0.0008145236035046966,0.0048699302669481664
ANTM,2026-05-03,1,0.0032844746493536276,0.9960925612709378,0.0006229640797086085,0.0113778044981253
ANTM,2026-05-02,2,0.0015370699761077275,0.9971654677431714,0.0012974622807208909,0.0010243091068097454
